group,event_label,event_code,epoch_index,event_sample,event_time_s,channel,is_bad,band,power,db
Major,34021,4,2,665024,324.719,FC3,no,theta,8.728830e-13,-120.589
Major,34021,4,2,665024,324.719,FC3,no,alpha,2.145076e-12,-116.685
Major,34021,4,2,665024,324.719,FC3,no,beta,4.927405e-13,-123.072
Major,34021,4,2,665024,324.719,FC3,no,gamma,5.236300e-13,-122.808
Major,34021,4,2,665024,324.719,FT7,no,theta,1.495392e-12,-118.252
Major,34021,4,2,665024,324.719,FT7,no,alpha,3.159853e-12,-115.003
Major,34021,4,2,665024,324.719,FT7,no,beta,7.213281e-13,-121.417
Major,34021,4,2,665024,324.719,FT7,no,gamma,5.633431e-13,-122.491
Major,34021,4,2,665024,324.719,FPZ,no,theta,2.557439e-12,-115.922
Major,34021,4,2,665024,324.719,FPZ,no,alpha,7.796178e-12,-111.081
Major,34021,4,2,665024,324.719,FPZ,no,beta,4.059329e-13,-123.913
Major,34021,4,2,665024,324.719,FPZ,no,gamma,1.101043e-13,-129.573
Major,34021,4,2,665024,324.719,OZ,no,theta,3.020779e-12,-115.198
Major,34021,4,2,665024,324.719,OZ,no,alpha,3.742381e-12,-114.268
Major,34021,4,2,665024,324.719,OZ,no,beta,5.147718e-13,-122.882
Major,34021,4,2,665024,324.719,OZ,no,gamma,3.005456e-13,-125.218
Major,34011,1,3,872896,426.219,CZ,no,theta,9.603148e-13,-120.175
Major,34011,1,3,872896,426.219,CZ,no,alpha,3.361939e-12,-114.734
Major,34011,1,3,872896,426.219,CZ,no,beta,1.726639e-13,-127.622
Major,34011,1,3,872896,426.219,CZ,no,gamma,5.281415e-14,-132.754
Major,34011,1,3,872896,426.219,PZ,no,theta,1.246716e-12,-119.042
